User,Sequence,Left_WristMid,Left_PalmWidth,Left_MiddleBone,Right_WristMid,Right_PalmWidth,Right_MiddleBone
User2 (user2),P2_S1_R8,86.19722999612976,51.86657336836561,59.719586273020305,89.98093302782213,54.09014971959216,62.29486985207455
User2 (user2),P2_S2_R1,87.10793905402934,52.782784890315064,60.49311436954408,86.1492527532942,52.80677836205314,59.76212657647292
User2 (user2),P2_S2_R2,85.57882417295646,51.73917985348511,59.03885938530059,85.04024081159346,52.209506824640364,58.983793462089814
User2 (user2),P2_S2_R3,86.34869113142499,52.19149839431031,59.59781086878459,85.73777129254621,52.63808469502546,59.36537530263258
User2 (user2),P2_S2_R4,86.31297796366506,52.174878309887326,59.73716416248957,85.17351132772946,52.2637704728406,58.97763189198625
User2 (user2),P2_S2_R5,86.09015278839371,51.98266011545917,59.497391201141134,89.63305640071633,54.23872116627904,61.88202554135632
User2 (user2),P2_S2_R6,87.49030379002066,52.75559141500254,60.474841846253334,89.98051706529836,54.363522590310836,62.202340678399004
User2 (user2),P2_S2_R7,86.5090001762589,52.24832593812511,59.76812096479246,89.26100207651048,53.968831856302664,61.6248093546477
User2 (user2),P2_S2_R8,86.7896999041204,52.36378382667675,60.00436790961707,89.10144559565674,53.96100654611323,61.547263710557786
User2 (user2),P2_S3_R1,85.91801087323815,51.72725283935566,59.17738239159948,83.04873602923644,50.998626518141606,57.482533310197596
User2 (user2),P2_S3_R2,85.14682854476817,51.420162768408794,58.8863761278995,82.28627409339386,50.51551453084293,56.87842559135503
User2 (user2),P2_S3_R3,86.83902028617462,52.18431563165065,59.76309331088233,85.32374661938803,52.14572133016254,58.96460452137352
User2 (user2),P2_S3_R4,85.96029835967748,51.62926626897641,59.44368027202351,87.53390227572623,53.00184326775301,60.33474200933815
User2 (user2),P2_S3_R5,85.6861058021379,51.478251885402926,59.27087782785158,87.41470423045759,52.99627062438902,60.326874429401954
User2 (user2),P2_S3_R7,85.67851069278427,51.3809789230016,59.249458067177294,87.08169874409853,52.66175278587311,60.07035226145731
User2 (user2),P2_S3_R8,86.5401058360287,51.84038125481653,59.91917444967556,87.62600359196654,53.01687692438534,60.48799749641478
User2 (user2),P2_S4_R1,85.30902451612823,51.531636548381705,58.82303495212829,85.70494684037166,52.479718107934886,59.26732714191211
User2 (user2),P2_S4_R2,86.13904175307408,51.96332766710184,59.426528770345925,86.65393356075758,53.050197602665854,59.850495419813356
User2 (user2),P2_S4_R3,86.4078332044463,51.946911257281,59.629928052707086,84.9087485042121,52.00707027575203,58.769812907893545
User2 (user2),P2_S4_R4,85.83146394051026,51.79886919869814,59.2364806386216,86.01911126164025,52.56170809903391,59.39122102358002
User2 (user2),P2_S4_R6,85.66727743294307,51.6738793539458,59.224503653954976,88.48845502106846,53.58715273595873,61.10275113131863
User2 (user2),P2_S4_R7,87.22991070356828,52.48677335724384,60.34478700276966,88.6237903151091,53.60105880414142,61.23010026415137
User2 (user2),P2_S4_R8,85.25039630711733,51.40939287089738,58.99756660388191,88.77428039773622,53.80070612417007,61.29716412373836
User2 (user2),P2_S5_R1,83.94584729844256,51.049961550185586,58.1560933342139,83.36461773481604,51.01554951697886,57.661722163392476
User2 (user2),P2_S5_R2,85.85205480508503,51.8954855303758,59.263958904748776,85.52788773149001,52.10235710831371,59.06693332183216
User2 (user2),P2_S5_R3,85.32983945797518,51.54221412029284,58.80707345886619,81.23638679254798,49.64366636793539,56.20589586983841
User2 (user2),P2_S5_R4,84.58235481381193,50.79305420762092,58.4233983490676,86.88617140959697,52.44069062400094,59.99222095674133
User2 (user2),P2_S5_R5,86.39428835251596,52.00987559238928,59.70439253416354,88.51714460399548,53.30765456746919,61.307723751587126
User2 (user2),P2_S5_R6,82.09379225452054,49.647422249696724,56.74706177015812,82.07322800250247,49.769829677526474,56.79338943828457
User2 (user2),P2_S6_R1,86.13526352132239,52.07641318163151,59.443857218689324,87.34215286462454,53.46712777112472,60.06770039932739
User2 (user2),P2_S6_R2,85.42349536823812,51.60349417539243,58.96345859019082,86.8073570012691,52.95994405592136,59.81053849624912
User2 (user2),P2_S6_R3,85.30622421314402,51.609160761660874,58.92059892662922,85.9763689662297,52.623951692891154,59.240382296583746
User2 (user2),P2_S6_R4,84.62732193101945,51.14568916322328,58.78182487169184,88.66911736369211,53.812718876943,61.53035177274322
User2 (user2),P2_S6_R5,86.12327611837631,51.657207694773525,59.74689985508619,88.1632864366915,53.54549375547437,61.239829106106576
User2 (user2),P2_S6_R6,85.74727971650483,51.437175836212106,59.27154829476284,88.73334055066373,53.68093918384074,61.526296168443075
User2 (user2),P2_S7_R1,84.1684702095978,51.00001771841691,58.08106389645698,85.63068823714805,52.448795195879214,59.145680719431454
User2 (user2),P2_S7_R2,84.28574704892014,51.05599799589331,58.2897698862163,84.66489933869595,51.82660720052508,58.630354716298484
User2 (user2),P2_S7_R3,83.49077755983822,50.695176323247644,57.84807459942845,81.85628702555599,50.258990984547395,56.70126883277027
User2 (user2),P2_S7_R4,83.50403787609754,50.60390338139602,57.81100004648448,85.74806203714738,52.24137801051764,59.25825836296174
User2 (user2),P2_S7_R5,85.83737124516384,51.553542795237185,59.315145978709545,88.61718021013432,53.504089467735014,61.284140621836
User2 (user2),P2_S7_R6,85.39826021245757,51.31470276900854,59.00765115503109,88.7857938385665,53.64625840106202,61.37575684751523
User2 (user2),P2_S8_R1,83.90631794965336,50.96279450764511,58.189078164406695,86.59154092985972,52.81856099757715,59.87652616909095
User2 (user2),P2_S8_R2,85.97766319462707,52.116771272541236,59.37338319193726,82.6246090490479,50.61943641562806,57.08024945925451
User2 (user2),P2_S8_R3,85.99195658741064,52.02862009441571,59.34781953098198,84.70713491110419,51.89152605897163,58.525497870221585
User2 (user2),P2_S8_R4,86.5145013305459,52.369026407281794,59.7081288853716,85.9449807357403,52.47666013811805,59.47399564075763
User2 (user2),P2_S8_R5,86.6697661574251,52.14974576930349,59.941000057685244,87.5639877693718,53.007613764608024,60.65473287085758
User2 (user2),P2_S8_R6,85.66757573387218,51.65328736516038,59.290196477775766,89.10936509702448,53.82629718626421,61.748563905545005
User2 (user2),P2_S8_R7,85.64482573053701,51.59282421369086,59.25702448378665,88.36395484718447,53.44907536777771,61.21430477986309
User2 (user2),P2_S9_R1,85.6553456854254,51.69670723147365,59.11698087737899,85.84828008556063,52.4171787356552,59.21670083673847
User2 (user2),P2_S9_R2,86.81916636805394,52.43053434397504,59.91432357713684,85.8680203885703,52.36684024685754,59.12921243903058
User2 (user2),P2_S9_R3,86.45670659521643,52.33814176948793,59.639650845926106,85.59901669561285,52.30271331481694,59.00469192932272
User2 (user2),P2_S9_R4,84.76570256356212,51.068435866516005,58.63232481265177,88.12820777287955,53.31609597762821,61.044347171457694
User2 (user2),P2_S9_R5,85.332988194875,51.384104388444584,59.01438839845588,88.00359965496554,53.382586884388154,60.81180201912069
User2 (user2),P2_S9_R6,87.19502628567864,52.48809255416697,60.2769378136095,88.56906787252305,53.68964662388809,61.21013304169809
User3 (user3),P3_S10_R1,92.0015153531923,56.07000702616035,63.535164946077195,93.73969023103302,57.715771147173676,65.1627480108294
User3 (user3),P3_S10_R2,90.8424397100358,55.548874550938706,62.677586693468754,93.14784850587436,57.02065133698989,64.29293885440653
User3 (user3),P3_S10_R3,90.8444365444932,55.382718328115644,62.7824531243328,92.59684901868556,56.686964619953926,63.98447503895082
User3 (user3),P3_S10_R4,90.18775512353464,54.962797723699595,62.24734017498411,91.27954866515105,56.04213626920359,63.063986229890354
User3 (user3),P3_S10_R5,90.31457059592319,55.21405115303054,62.344142663367,89.31223040266576,54.68558270416496,61.60354726255718
User3 (user3),P3_S11_R1,93.1828743332863,57.018194854853164,64.2500366493605,93.5918502915228,56.94751026453171,64.37456297229807
User3 (user3),P3_S11_R2,91.04954742588248,55.449221989864306,62.70674093214621,92.11256764447835,56.19144617331808,63.39021704867641
User3 (user3),P3_S11_R3,92.39402398782921,56.22668354553742,63.62563358048695,92.99075283478045,56.832694924452575,64.14345891180389
User3 (user3),P3_S11_R4,92.68919592701384,56.36235719494968,63.93286134664606,93.27434468100756,56.9845327498396,64.37415667383561
User3 (user3),P3_S11_R5,92.58815346932947,56.510454467412046,63.7961578178963,90.92947372215559,55.72395426787376,62.91976129675648
User3 (user3),P3_S1_R1,89.86385963965331,54.83285101438077,62.04460116633218,92.19011670181143,55.909987075225,63.57979909349138
User3 (user3),P3_S1_R2,89.81749379064904,54.828924160469874,62.0143734307976,92.60435819095821,56.15054788408024,63.8586461268584
User3 (user3),P3_S1_R3,89.68726719982318,54.845134012262044,61.95216745943489,93.38704561155302,56.65760808270784,64.39692590359276
User3 (user3),P3_S1_R4,91.95289193896667,56.51885305214702,63.6603639158805,92.75339799520336,56.25702805342801,64.27046372588468
User3 (user3),P3_S1_R5,91.42725467270326,56.299173657535945,63.293086329624735,91.91627713950119,55.83583429141451,63.72456674050856
User3 (user3),P3_S2_R3,92.80325300165511,55.832319503873336,64.00702506815952,94.61921765992466,57.50167991175115,65.13350494462566
User3 (user3),P3_S2_R4,92.21932723550697,55.380420655088706,63.54677105986998,92.36184942333234,56.28061449330701,63.60863895782327
User3 (user3),P3_S2_R5,91.49831939401597,54.91722631478381,63.065245572427074,94.0420381639919,57.14101229623564,64.71643980140308
